               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.034739,           0.0093346,                   0,             0.78942,                   1,             0.95675,              0.6132,            0.025912,           0.0037464,                   0,              0.0064,              0.0064,              0.0064
                  82,            0.035179,           0.0094095,                   0,             0.91965,              0.9375,             0.96442,             0.62841,            0.027662,           0.0037524,                   0,            0.006355,            0.006355,            0.006355
                  83,            0.031005,            0.010262,                   0,             0.91205,              0.9375,             0.93575,             0.59698,            0.024359,           0.0040949,                   0,             0.00631,             0.00631,             0.00631
                  84,            0.033845,           0.0087797,                   0,              0.9101,               0.875,             0.94351,             0.70867,            0.024374,           0.0039807,                   0,            0.006265,            0.006265,            0.006265
                  85,            0.034894,            0.010186,                   0,             0.82255,              0.9375,             0.91515,             0.63585,            0.023837,           0.0041984,                   0,             0.00622,             0.00622,             0.00622
                  86,            0.033341,           0.0093413,                   0,             0.79596,              0.8125,             0.89571,             0.58957,             0.02595,           0.0044247,                   0,            0.006175,            0.006175,            0.006175
                  87,            0.032395,            0.009094,                   0,             0.78969,             0.93879,             0.93752,             0.62056,            0.025823,           0.0040328,                   0,             0.00613,             0.00613,             0.00613
                  88,            0.031939,           0.0090324,                   0,             0.91057,              0.8125,             0.93707,             0.64534,            0.025196,           0.0039974,                   0,            0.006085,            0.006085,            0.006085
                  89,            0.034223,           0.0096609,                   0,             0.98524,              0.8125,             0.94974,             0.62798,            0.023556,            0.003908,                   0,             0.00604,             0.00604,             0.00604
                  90,            0.031276,           0.0085933,                   0,              0.9939,              0.8125,             0.96071,             0.63428,            0.026522,           0.0038299,                   0,            0.005995,            0.005995,            0.005995
                  91,            0.030753,           0.0080505,                   0,             0.99148,              0.8125,             0.96114,             0.64221,            0.024496,           0.0037504,                   0,             0.00595,             0.00595,             0.00595
                  92,            0.031397,           0.0096145,                   0,             0.99154,              0.8125,             0.95864,             0.68072,            0.023641,           0.0038873,                   0,            0.005905,            0.005905,            0.005905
                  93,            0.032691,           0.0080617,                   0,             0.92767,               0.875,             0.95497,             0.64447,            0.024688,           0.0037638,                   0,             0.00586,             0.00586,             0.00586
                  94,            0.031978,           0.0092206,                   0,                   1,             0.85822,             0.96077,             0.54896,            0.027741,            0.003946,                   0,            0.005815,            0.005815,            0.005815
